;Sample_or_Control;ID_Samples;is.neg;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Abbrev_host;Sampling_date;Subdive
e1100027457;Control;BLK_001;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
e1100027458;True sample;CAO_413;FALSE;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Lefroyella;Lefroyella sp.;Ls.3;22.04.2022;Subdive 1
e1100027459;True sample;CAO_423;FALSE;107;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;Ne.2;23.04.2022;Subdive 2
e1100027460;True sample;CAO_431;FALSE;267;3.Lower rariphotic;Demospongiae;Tetractinelida;Calthropellidae;Calthropella;Calthropella lithistina;Cl.2;23.04.2022;Subdive 2
e1100027461;True sample;CAO_439;FALSE;267;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 2;Gs2.1;23.04.2022;Subdive 2
e1100027462;True sample;CAO_449;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.3;23.04.2022;Subdive 2
e1100027463;True sample;CAO_580;FALSE;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Hexactinella;Hexactinella sp.;Hx.2;30.03.2023;Subdive 3
e1100027464;True sample;CAO_588;FALSE;144;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.9;30.03.2023;Subdive 3
e1100027469;Control;BLK_002;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
e1100027470;True sample;CAO_414;FALSE;298;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;Cp.1;22.04.2022;Subdive 1
e1100027471;True sample;CAO_424;FALSE;106;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia aff. weinbergi;Pw.1;23.04.2022;Subdive 2
e1100027472;True sample;CAO_432;FALSE;262;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Penares;Penares mastoideus;Pm.1;23.04.2022;Subdive 2
e1100027473;True sample;CAO_441;FALSE;266;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia cf. megastrella;Gm.1;23.04.2022;Subdive 2
e1100027474;True sample;CAO_450;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.4;23.04.2022;Subdive 2
e1100027475;True sample;CAO_581;FALSE;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.6;30.03.2023;Subdive 3
e1100027476;True sample;CAO_590;FALSE;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;Cp.5;30.03.2023;Subdive 3
e1100027481;True sample;CAO_405;FALSE;282;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Lefroyella;Lefroyella sp.;Ls.1;22.04.2022;Subdive 1
e1100027482;True sample;CAO_415;FALSE;300;3.Lower rariphotic;Demospongiae;Tetractinelida;Calthropellidae;Calthropella;Calthropella lithistina;Cl.1;22.04.2022;Subdive 1
e1100027483;True sample;CAO_425;FALSE;100;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;Sz.2;23.04.2022;Subdive 2
e1100027484;True sample;CAO_433;FALSE;151;2.Upper rariphotic;Demospongiae;Tetractinellida;Siphoniididae;Gastrophanella;Gastrophanella implexa;Gi.1;23.04.2022;Subdive 2
e1100027485;True sample;CAO_442;FALSE;268;3.Lower rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.1;23.04.2022;Subdive 2
e1100027486;True sample;CAO_451;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.5;23.04.2022;Subdive 2
