;Kingdom;Phylum;Class;Order;Family;Genus
ASV_1;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum
ASV_2;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum
ASV_3;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_4;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;NA;NA
ASV_5;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_6;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_7;Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA
ASV_8;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_9;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_10;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum
ASV_11;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;SUP05 cluster
ASV_12;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_13;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_14;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;NA;NA
ASV_15;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_16;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_17;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum
ASV_18;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;NA
ASV_19;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;IheB2-31
ASV_20;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_21;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_22;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_23;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum
ASV_24;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_25;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_26;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_27;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_28;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_29;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_30;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;NA;NA
ASV_31;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_32;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_33;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_34;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_35;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;NA;NA
ASV_36;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_37;Bacteria;Acidobacteriota;Subgroup 11;NA;NA;NA
ASV_38;Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;NA;NA
ASV_39;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_40;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_41;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_42;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_43;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;NA
ASV_44;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_45;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_46;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_47;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_48;Bacteria;NA;NA;NA;NA;NA
ASV_49;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_50;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fulvitalea
ASV_51;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_52;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_53;Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA
ASV_54;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_55;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_56;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;NA;NA
ASV_57;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_58;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_59;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_60;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_61;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_62;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_63;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_64;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_65;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_66;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_67;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_68;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_69;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_70;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_71;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_72;Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA
ASV_73;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_74;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA
ASV_75;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_76;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_77;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_78;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV_79;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA
ASV_80;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_81;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_82;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;NA;NA
ASV_83;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina
ASV_84;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_85;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_86;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_87;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_88;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_89;Bacteria;Acidobacteriota;Subgroup 11;NA;NA;NA
ASV_90;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_91;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_92;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_93;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_94;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;NA
ASV_95;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_96;Bacteria;Acidobacteriota;Subgroup 11;NA;NA;NA
ASV_97;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_98;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_99;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
