row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
2064;509.34336;510.35064;957.99;PC O-17:0;Lyso-PC(C17:0)*;2064_510.35064_957.99;4.0803;0.084852;0.53039;-302.9879805;C27H47N3O6;2-[2,3-bis[2-(cyclohexylamino)-2-oxoethoxy]propoxy]-N-cyclohexylacetamide;PubChem:(22889506)
1838;260.13362;261.14089;274.29;;Dipeptide or derivative *****. Glutamylisoleucine ? Low intensity;1838_261.14089_274.29;4.0301;1.0111;0.73702;-93.94919465;C15H17FN2O;null;PubChem:(79776160)
1830;260.13357;261.14085;254.9;;Dipeptide or derivative *****. Glutamylisoleucine ? Low intensity;1830_261.14085_254.9;4.0262;1.0628;0.6535;-279.9835267;C9H17BFN3O4;null;PubChem:(69566697 69566700 90822433)
2024;544.33187;545.33915;897.32;;Isotopic peak mz 544;2024_545.33915_897.32;3.9825;0.44059;2.6227;;;;
2022;543.32841;544.33574;897.56;PC O-20:4;Lyso-PC(C20:4)**;2022_544.33574_897.56;3.9484;0.52;2.8231;-87.71109368;C28H50NO7P;2-arachidonoyllysophosphatidylcholine;HMDB:(61699).PubChem:(16035469 16035470 44602417 52924038 53914932 87523282 87523283).YMDB Mine.CHEBI:(76079).PubChem class - bio and metabolites.MeSH:(52924038).PubMed
2126;523.36008;524.36706;1070.53;1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine;Lyso-PC(C18:0);2126_524.36706_1070.53;3.8334;0.2327;0.060864;-9.831651657;C26H54NO7P;C16-PAF acether;COCONUT:(CNP0288397 CNP0351742).HMDB:(62195).PubChem:(2499 2500 108156 108157 5313888 10506327 10506328 10625909 10625910 13871343 10436782 10436783 71684506 71684507 100961790).CHEBI:(44811).ZINC bio:(ZINC14880284).additional.PubChem class - bio and metabolites.MeSH:(108156).Training Set.PubMed
2128;524.36363;525.37091;1070.08;;Isotopic peak mz 524;2128_525.37091_1070.08;3.8313;0.46991;0.26831;;;;
421;263.14875;264.15603;127.02;;Dipetide or derivative. Glutamylvaline ? Low intensity;421_264.15603_127.02;3.5219;2.039;1.3985;-124.4173473;C11H17N7O;null;PubChem:(106412531)
1612;131.09212;132.09948;67.62;;C6H14NO2. Frament ion from 312.5982 ?;1612_132.09948_67.62;3.4506;1.0385;0.98523;;;;
1625;189.0399;190.04718;68.03;;Hydroxyphenylglycine ?;1625_190.04718_68.03;3.4159;0.27395;0.73783;;;;
