;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
108_Conorete_pourtalesi;Cp.1;SUB_108;267;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;8.0083;1.9311;-2.7372;-7.2099;-1.769;3.4882;-5.3982;-8.773
111_Heterotella;Hp.1;SUB_111;305;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;8.5345;-2.107;-1.0094;-6.089;7.3419;-1.5756;4.8246;-8.9994
405_Dictyoplax_lecus;Dl.1;CAO_405;282;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;4.5927;8.8158;-2.2888;-1.3903;0.24626;5.0884;3.2142;6.7138
406_Dictyoplax_lecus;Dl.2;CAO_406;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;3.2413;6.7704;3.7726;5.6739;-1.3715;0.69879;-5.1899;2.7901
408_Dictyoplax_lecus;Dl.3;CAO_408;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-1.3184;14.393;11.21;4.5596;4.4197;-5.0049;2.1721;0.39634
410_Verrucocoeloidea_liberatorii;Vl.1;CAO_410;302;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;2.9332;6.7443;4.4381;7.7273;-1.4454;-3.8736;-3.8224;0.71907
411_Heterotella_pomponaecorbicula;Hp.2;CAO_411;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;2.2961;12.782;1.4977;-1.6536;3.6824;-0.62636;2.2834;-0.49311
412_Heterotella_pomponaecorbicula;Hp.3;CAO_412;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;3.2768;8.2535;2.9145;2.3124;-1.0759;2.7675;-4.5487;-0.3213
413_Dictyoplax_lecus;Dl.4;CAO_413;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;2.234;11.379;3.6943;0.39203;0.5119;-0.47421;-9.7994;-2.666
414_Conorete_pourtalesi;Cp.2;CAO_414;298;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;5.3442;4.0821;2.4077;-3.888;0.7917;10.157;0.87931;1.7414
415_Calthropella_Pachataxa_lithistina;Cl.1;CAO_415;300;3.Lower rariphotic;Demospongiae;Tetractinelida;Calthropellidae;Calthropella;Calthropella lithistina;-9.3001;-3.9463;0.36328;1.1106;-5.8201;2.0488;-1.571;-9.0278
418_Topsentia;To.1;CAO_418;295;3.Lower rariphotic;Demospongiae;Halichondrida;Halichondriidae;Topsentia;Topsentia ophiraphidite;-9.2347;-1.9481;-5.9054;3.3991;5.1293;5.5835;3.408;-2.4642
419_Svenzea;Sz.1;CAO_419;95;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;-9.5445;-1.2247;-4.4885;1.1783;6.3817;3.1851;-6.19;-0.32201
420_Neopetrosia_eurystomata;Ne.1;CAO_420;94;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;-10.905;-0.90828;2.3841;-0.40699;-0.33821;1.3816;-6.4766;8.2681
421_Petrosia_sp_branch;Ps1.1;CAO_421;89;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 1;-12.09;0.30165;2.9147;5.0906;1.9587;-6.4759;1.3868;1.1716
422_Petrosia_sp;Ps2.1;CAO_422;129;2.Upper rariphotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 2;-9.9424;-0.8509;-2.5528;0.12894;1.9198;4.7057;1.8642;2.2192
423_Neopetrosia_eurystomata;Ne.2;CAO_423;107;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;-10.681;-3.6297;5.0641;1.8823;-3.217;0.39742;-8.6011;0.60632
424_Petrosia_aff._weinbergi;Pw.1;CAO_424;106;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia aff. weinbergi;-11.064;-3.9927;10.726;-6.4256;-2.527;-1.0254;-1.378;-0.89362
