;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
108_Conorete_pourtalesi;Cp.1;SUB_108;267;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;8.4984;2.0189;-2.6078;-4.9908;-4.1191;4.0923;3.011;0.72832
111_Heterotella;Hp.1;SUB_111;305;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;9.498;0.29006;-2.0636;-3.656;-1.5354;-7.0509;10.598;-7.3338
405_Dictyoplax_lecus;Dl.1;CAO_405;282;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;5.1348;5.0045;-2.5909;1.5631;-8.2599;-0.023266;-4.5654;-2.4598
406_Dictyoplax_lecus;Dl.2;CAO_406;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;3.0347;3.2425;1.6011;4.7754;0.028636;1.0225;-9.8991;1.4305
408_Dictyoplax_lecus;Dl.3;CAO_408;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;0.42445;7.606;-0.60842;4.1946;-1.4002;-1.7796;4.5661;-4.0491
410_Verrucocoeloidea_liberatorii;Vl.1;CAO_410;302;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;2.9932;3.1924;0.9158;5.3055;-0.099828;1.6442;0.18339;0.27305
411_Heterotella_pomponaecorbicula;Hp.2;CAO_411;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;3.4177;6.4206;-4.3128;3.1329;-3.1982;2.8278;5.3098;-2.4009
412_Heterotella_pomponaecorbicula;Hp.3;CAO_412;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;3.6103;4.499;-0.035149;1.5405;-3.8409;4.7853;-2.4083;-1.4015
413_Dictyoplax_lecus;Dl.4;CAO_413;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;2.6694;5.712;-1.0862;1.5809;-3.1902;8.7258;1.3839;1.3844
414_Conorete_pourtalesi;Cp.2;CAO_414;298;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;5.8256;3.2148;0.42604;-4.4034;-3.8234;8.3865;2.5793;-8.1074
