;;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
108_Conorete_pourtalesi;108_Conorete_pourtalesi;Cp.1;SUB_108;267;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-5.6277;-0.50957;5.6747;6.4725;-1.5091;-7.9495;5.2365;-6.3208
111_Heterotella;111_Heterotella;Hp.1;SUB_111;305;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;-6.8731;5.3808;-0.63911;-3.5445;12.397;-5.3316;2.3777;-5.8321
405_Dictyoplax_lecus;405_Dictyoplax_lecus;Dl.1;CAO_405;282;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-3.5384;-6.8946;7.58;7.3242;5.7515;7.0698;1.8772;6.1978
406_Dictyoplax_lecus;406_Dictyoplax_lecus;Dl.2;CAO_406;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-0.42903;-9.1983;-0.84916;1.3639;1.9083;15.305;4.3837;-5.188
408_Dictyoplax_lecus;408_Dictyoplax_lecus;Dl.3;CAO_408;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-4.229;-2.8894;8.862;-5.2043;3.3569;1.708;-9.0288;2.2547
410_Verrucocoeloidea_liberatorii;410_Verrucocoeloidea_liberatorii;Vl.1;CAO_410;302;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;-1.352;-8.2137;1.1713;7.0715;2.9777;-9.7739;-7.2884;1.236
411_Heterotella_pomponaecorbicula;411_Heterotella_pomponaecorbicula;Hp.2;CAO_411;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;-3.3316;-3.623;8.3337;-8.3655;-2.3798;2.236;-5.5598;4.5017
412_Heterotella_pomponaecorbicula;412_Heterotella_pomponaecorbicula;Hp.3;CAO_412;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella pomponae;-2.2254;-6.5871;4.3606;2.1366;-2.9384;2.0808;-0.36417;-3.0183
413_Dictyoplax_lecus;413_Dictyoplax_lecus;Dl.4;CAO_413;301;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-2.8211;-3.6193;7.8267;-9.5474;-12.729;3.2068;0.2433;2.633
414_Conorete_pourtalesi;414_Conorete_pourtalesi;Cp.2;CAO_414;298;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-4.7851;-0.65572;4.702;-0.40384;-6.9462;1.8431;13.805;4.2045
