;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
415_Calthropella_Pachataxa_lithistina;Cl.1;CAO_415;300;3.Lower rariphotic;Demospongiae;Tetractinelida;Calthropellidae;Calthropella;Calthropella lithistina;12.176;2.9765;-14.379;6.0213;-1.905;0.85357;-12.399;-9.9343
418_Topsentia;To.1;CAO_418;295;3.Lower rariphotic;Demospongiae;Halichondrida;Halichondriidae;Topsentia;Topsentia ophiraphidite;8.2072;7.1288;3.32;-4.9038;0.095937;3.2223;10.697;-5.4936
419_Svenzea;Sz.1;CAO_419;95;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;-5.324;-2.0594;-5.9157;-9.3459;2.2046;-7.9235;-9.0468;-7.4456
420_Neopetrosia_eurystomata;Ne.1;CAO_420;94;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;-9.9593;6.8108;-3.5465;4.3581;2.2448;1.165;5.1805;3.5873
421_Petrosia_sp_branch;Ps1.1;CAO_421;89;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 1;-4.7351;-9.9981;6.6281;8.5797;-5.034;-2.1458;4.1559;-9.5738
422_Petrosia_sp;Ps2.1;CAO_422;129;2.Upper rariphotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 2;0.61013;2.7678;3.1128;-3.4014;-6.0548;-8.5034;-3.9673;-6.2833
423_Neopetrosia_eurystomata;Ne.2;CAO_423;107;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;-9.1117;7.1489;-8.2381;1.1821;-9.1344;-3.1232;0.39497;5.721
424_Petrosia_aff._weinbergi;Pw.1;CAO_424;106;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia aff. weinbergi;-7.6125;-2.3629;6.8811;3.4379;-14.766;10.746;-1.1877;-9.9531
425_Svenzea;Sz.2;CAO_425;100;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;-7.0424;-2.1213;1.7176;1.0379;9.5271;3.8173;2.4077;-2.6733
426_Neopetrosia_ovata;Ne.3;CAO_426;105;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;-11.517;9.6929;0.6657;-0.90139;-1.3872;4.0304;0.011332;6.9691
