;Final_name
ASV_1;ASV_1_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_2;ASV_2_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_3;ASV_3_Proteobacteria_NA_NA
ASV_4;ASV_4_Proteobacteria_NA_NA
ASV_5;ASV_5_Crenarchaeota_Nitrosopumilaceae_NA
ASV_6;ASV_6_Crenarchaeota_Nitrosopumilaceae_NA
ASV_7;ASV_7_SAR324 clade(Marine group B)_NA_NA
ASV_8;ASV_8_Crenarchaeota_Nitrosopumilaceae_NA
ASV_9;ASV_9_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_10;ASV_10_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_11;ASV_11_Proteobacteria_Thioglobaceae_SUP05 cluster
ASV_12;ASV_12_Crenarchaeota_Nitrosopumilaceae_NA
ASV_13;ASV_13_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_14;ASV_14_Proteobacteria_NA_NA
ASV_15;ASV_15_Crenarchaeota_Nitrosopumilaceae_NA
ASV_16;ASV_16_Proteobacteria_NA_NA
ASV_17;ASV_17_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_18;ASV_18_Proteobacteria_PS1 clade_NA
ASV_19;ASV_19_Proteobacteria_Thioglobaceae_IheB2-31
ASV_20;ASV_20_Proteobacteria_NA_NA
ASV_21;ASV_21_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_22;ASV_22_Chloroflexi_Caldilineaceae_NA
ASV_23;ASV_23_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_24;ASV_24_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_25;ASV_25_PAUC34f_NA_NA
ASV_26;ASV_26_Chloroflexi_NA_NA
ASV_27;ASV_27_Chloroflexi_Caldilineaceae_NA
ASV_28;ASV_28_Proteobacteria_NA_NA
ASV_29;ASV_29_Chloroflexi_NA_NA
ASV_30;ASV_30_Proteobacteria_NA_NA
ASV_31;ASV_31_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_32;ASV_32_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_33;ASV_33_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_34;ASV_34_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_35;ASV_35_Dadabacteria_NA_NA
ASV_36;ASV_36_Proteobacteria_NA_NA
ASV_37;ASV_37_Acidobacteriota_NA_NA
ASV_38;ASV_38_Nanoarchaeota_NA_NA
ASV_39;ASV_39_Crenarchaeota_Nitrosopumilaceae_NA
ASV_40;ASV_40_Crenarchaeota_Nitrosopumilaceae_NA
ASV_41;ASV_41_Chloroflexi_Caldilineaceae_NA
ASV_42;ASV_42_Chloroflexi_Caldilineaceae_NA
ASV_43;ASV_43_Proteobacteria_Unknown Family_NA
ASV_44;ASV_44_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
