#NAME;Peak_366_151.03313_60.77_n.a.;Peak_1606_241.99908_60.98_n.a.;Peak_1601_218.98167_61.22_n.a.;Peak_1604_182.95986_61.23_n.a.;Peak_1613_169.98359_67.8_n.a.;Peak_1614_162.01821_67.68_n.a.;Peak_1625_Hydroxyphenylglycine ?;Peak_380_143.07916_69.46_n.a.;Peak_1624_Methylated aminoacid derivative;Peak_1632_179.00245_69.58_n.a.;Peak_1640_140.03628_69.5_n.a.;Peak_1645_Methyl-isoleucine ?;Peak_1668_184.0651_69.63_n.a.;Peak_1619_Hydroxyphenylglycine ?;Peak_1626_Alanylproline;Peak_1634_162.11089_69.35_n.a.;Peak_1638_Cyclo-(Pro-Gly) ?;Peak_1659_144.09935_70.83_n.a.;Peak_1660_190.10454_70.07_n.a.;Peak_1648_176.12525_71.18_n.a.;Peak_1649_200.11988_71.6_n.a.;Peak_1653_212.10215_71.84_n.a.;Peak_1679_Cysteinyl-Glycine ?;Peak_1680_170.11511_71.61_n.a.;Peak_1698_174.11287_71.3_n.a.;Peak_1664_185.08854_71.26_n.a.;Peak_1666_204.12147_71.58_n.a.;Peak_1654_199.10465_72.11_n.a.;Peak_1713_201.08432_75.17_n.a.;Peak_402_Glycyl-Lysine (Gly-Lys);Peak_1717_Rhodosamine;Peak_1716_199.10457_89.13_n.a.;Peak_1731_268.1032_89.91_n.a.;Peak_1735_154.05885_89.32_n.a.;Peak_1752_C12H21N2O3;Peak_1757_201.08427_103.37_n.a;Peak_413_254.16062_105.79_n.a.;Peak_1769_160.07509_115.28_n.a.;Peak_418_177.09981_123.6_n.a.;Peak_1779_166.08435_140.44_n.a.;Peak_1839_Xanthurenic acid;Peak_454_C5H6N2O2 Thymine ?;Peak_1849_Imidazole derivative;Peak_1850_247.14195_304.15_n.a.;Peak_503_234.99398_365.57_n.a.;Peak_513_173.10377_382.22_n.a.;Peak_553_205.07665_434.84_n.a.;Peak_1884_Aphrocallistin derivative;Peak_655_328.13833_505.28_n.a.;Peak_677_Aphrocallistin derivative;Peak_1888_Aphrocallistin;Peak_1890_Aphrocallistin;Peak_701_179.02513_565.88_n.a.;Peak_710_209.11453_575.28_n.a.;Peak_788_209.11475_663.55_n.a.;Peak_847_230.24538_748.61_n.a.;Peak_885_258.2772_838.75_n.a.;Peak_1991_Lyso-PC(C20:5);Peak_2022_Lyso-PC(C20:4)**;Peak_2025_280.26107_901.53_n.a.;Peak_912_286.3087_924.94_n.a.;Peak_916_226.2135_931.49_n.a.;Peak_2054_Lyso-PC(C16:0);Peak_2071_522.35108_967.83_n.a.;Peak_2083_482.35506_987.63_n.a.;Peak_954_278.24578_1015.91_n.a.;Peak_2100_228.22982_1015.27_n.a.;Peak_2106_Lyso-PC(O-C17:0) NO6P;Peak_2112_Palmitoleamide;Peak_2120_254.24524_1060_n.a.;Peak_2127_Lyso-PC(O-C18:0) NO6P;Peak_2126_Lyso-PC(C18:0);Peak_2131_242.2454_1074.03_n.a.;Peak_1019_165.16176_1078.78_n.a.;Peak_1021_179.17593_1078.79_n.a.;Peak_2132_280.26335_1078.77_n.a.;Peak_2147_280.26224_1092.33_n.a.;Peak_1038_268.26225_1098.97_n.a.;Peak_1039_269.26482_1099.24_n.a.;Peak_2156_280.26179_1102.9_n.a.;Peak_2169_256.26104_1118.22_n.a.;Peak_2180_256.26355_1129.93_n.a.;Peak_1059_257.26346_1131.3_n.a.;Peak_1062_681.4495_1135.36_n.a.;Peak_1063_268.26181_1137.12_n.a.;Peak_2193_593.39834_1142.55_n.a.;Peak_2202_549.37115_1145.7_n.a.;Peak_2203_505.34513_1148.11_n.a.;Peak_1083_248.24319_1149.83_n.a.;Peak_2213_563.55152_1150.38_n.a.;Peak_1096_212.1974_1150.74_n.a.;Peak_1101_283.2835_1150.83_n.a.;Peak_1104_285.28632_1151_n.a.;Peak_2225_Oleamide;Peak_2232_270.27801_1167.37_n.a.;Peak_1122_308.2922_1174.1_n.a.;Peak_2244_270.27745_1183.18_n.a.;Peak_1142_694.44723_1198.07_n.a.;Peak_1147_296.29296_1199.34_n.a.;Peak_1149_297.29503_1199.71_n.a.;Peak_1214_284.29457_1233.12_n.a.;Peak_1221_837.58678_1236.88_n.a.;Peak_1223_793.56_1240.39_n.a.;Peak_1233_749.53318_1243.69_n.a.;Peak_2323_310.31029_1243.8_n.a.;Peak_1245_705.50761_1246.95_n.a.;Peak_1248_661.48128_1250.2_n.a.;Peak_1255_617.45706_1253.47_n.a.;Peak_1257_573.42982_1256.36_n.a.;Peak_2336_310.30884_1256.43_n.a.;Peak_2343_529.40283_1259.39_n.a.;Peak_2348_485.37577_1262.03_n.a.;Peak_1397_598.8996_1305.8_n.a.;Peak_1477_821.591_1327.95_n.a.;Peak_1484_777.56465_1330.88_n.a.;Peak_1485_778.56682_1330.9_n.a.;Peak_1489_733.54019_1333.77_n.a.;Peak_2505_689.51418_1336.65_n.a.;Peak_1494_640.53264_1339.57_n.a.;Peak_2519_645.48851_1339.54_n.a.;Peak_2518_646.49167_1340.12_n.a.;Peak_2524_601.46238_1342.59_n.a.;Peak_1498_557.43608_1345.13_n.a.;Peak_2539_513.40891_1347.58_n.a.;Peak_1499_469.38106_1349.61_n.a.
CAO_405;0.764084284;0.842476201;0.947999333;0.809808612;0.84072736;-1.21179443;-0.57536892;-0.16236799;0.04993226;-0.28892141;-1.35403188;-0.88654996;0.66980515;-1.05018152;0.121193726;-0.009298541;0.56539292;-0.51203329;-0.151764931;0.131698414;0.25126039;0.564526738;-0.7881091;0.551871884;0.55102924;0.63349342;-0.14712968;0.941294863;-0.64679006;-0.7143676;0.53728779;-1.20818777;-2.60926973;-0.34490351;-0.448270387;-0.406251;0.7140953;-0.351619;-0.289283628;-0.08478104;-0.48812062;-0.1025103;-0.39950166;-0.08806312;-0.4083475;-0.029058685;-0.22867872;-0.495766871;-0.29400552;-0.59675149;-0.755878;-0.83518601;-0.12831503;0.963706989;0.817277395;0.43638912;0.467788331;1.31413443;1.1374392;-0.56509313;0.739332895;0.35704041;1.37206335;1.16733124;-0.09299863;0.279469956;0.200262161;-1.2985756;0.310745496;-0.197011181;-0.5112101;1.516894425;0.34115259;0.12968069;0.582261104;0.1068144;0.241490322;0.29380576;0.25538694;-0.551402439;-0.02014153;0.00845248;0.08427601;-0.32003495;-0.25357537;0.673036984;0.56774835;0.62771245;0.567448858;0.165138725;0.390990779;0.068343371;0.328441393;-0.045037773;0.32379335;-0.01900532;0.147240569;0.34338371;0.258828012;0.554183248;0.101979754;0.211660287;0.70091924;0.597991973;0.127639301;0.41439548;0.686160607;0.39048664;0.50460393;0.25174405;0.68374472;0.68419076;0.423978235;0.379704162;0.493372704;0.716633679;0.554084296;0.600387712;0.515906649;0.579386293;0.55773903;0.621164083;0.57158049;0.501044032;0.6413365
CAO_406;0.476625345;0.602754039;0.553690819;0.599471551;0.70535104;-1.40298251;-0.7697476;0.90733367;-1.3241859;0.53090442;-1.55066394;0.57995277;-1.07202619;-1.21988959;-0.315402523;0.31447478;-0.68891948;0.69888955;0.294526961;-0.006712212;0.08607369;-0.521750282;-0.95669302;0.772635241;-0.08309869;0.03719452;-0.37648932;0.436634945;0.27920608;-0.2639964;-0.80023629;-0.69461148;0.02587096;0.67845897;-0.274731311;1.000625;-1.5380967;-0.5342002;-0.475208799;-0.13385836;-0.65749001;-1.0283669;-0.59429741;-0.60455986;0.956285;-0.928430255;-0.73484643;0.621556474;0.76366295;1.02403888;1.3297422;1.45111387;-2.13455082;-0.950004863;-1.206084526;-0.36276095;-0.530850524;0.66154457;0.5617077;0.01868543;-0.419863034;0.43276258;0.18674129;0.11464762;0.25190808;0.498933967;0.356324905;0.1593606;0.470520982;0.272952636;-0.6994507;1.177292177;0.44468847;0.21936002;0.182767604;0.25163866;0.210850151;0.42910654;0.2555983;-0.37946329;0.49477477;0.098765765;0.26966122;0.05790133;0.35120467;0.031294975;0.04135051;0.07470616;0.258649349;0.420206451;-0.058577914;0.437594637;0.409017983;0.0969916;0.53336751;0.45321713;0.246478794;-1.77070394;0.579069432;0.593183732;0.156817444;0.244547739;-0.1727127;0.013971818;0.058713977;-0.02498867;-0.010087121;-0.02638206;-0.27879368;-0.04671333;0.11627507;0.198548995;0.301248912;-0.001009304;0.103141176;0.043572411;0.055681585;0.20578138;-0.119687452;0.148679949;0.17701773;0.124360294;0.16130804;0.093841761;0.17469674
CAO_408;0.621150291;0.790658197;0.711719611;0.364195883;0.76587163;0.2538357;-0.71995296;-1.7857769;0.5800196;-0.24782035;0.13837644;0.12631056;0.79788287;0.65346224;-0.034249573;0.072383554;0.60158576;-0.16249266;0.289849304;0.726157891;0.14486135;0.95424378;-0.91350652;0.619888019;0.67375393;0.68011829;-0.06611849;1.194228437;-0.78753582;-0.8392162;0.64016454;0.05292718;-0.21246723;-0.49619395;-0.338580112;-0.5443829;0.6469212;-0.4874299;-0.42758214;1.1497496;-0.61410259;0.3340595;1.20314054;1.02857067;-0.543459;-0.298063741;-0.3210861;-0.628705174;-0.43559797;-0.722612;-0.8741344;-0.9544595;-0.84039219;-0.104356093;0.064421362;-0.85364879;-1.151854654;1.15713669;1.03753609;-0.5339812;-1.554380304;0.45591337;1.36077559;0.92469369;-0.00400461;-0.615414289;0.178694227;0.2772555;0.034654814;0.347613263;1.206783;1.455404235;0.09045866;-0.14508971;0.285894153;0.41777324;0.029070071;0.2324855;0.04384119;-0.118253828;0.27414941;0.177721442;0.11898812;0.45816243;0.39691655;0.339456798;0.37703223;0.45315207;0.280748676;0.259843863;0.202920174;0.213359138;0.275955044;0.241385283;0.23105741;0.07691802;0.262893168;0.29425187;0.109452302;0.055897155;-0.012624058;0.166396007;0.36507608;0.455445007;-0.111858675;0.42592685;0.36539776;0.49443695;0.47141895;-0.20035158;0.32978255;0.354790338;0.124469853;0.557572543;0.312380787;0.277872096;0.190310616;0.422620885;0.084480535;0.422231892;0.37235672;0.290433822;0.3533675;0.230300248;0.32138903
CAO_410;0.593513472;0.227397384;0.209263659;0.436896202;0.82045325;-1.40544381;1.421727;0.73675778;-1.32678694;1.15251685;-1.55319532;0.78460724;-1.0751346;0.96487532;-0.16838881;0.557173031;-0.14615205;1.12716298;0.39639549;0.17907533;0.20734471;-1.435273235;-0.95886331;0.964234384;0.44971641;0.56544094;0.12760466;0.890594329;-0.8384443;1.1899584;0.4078526;-0.50831122;-0.50339827;-0.55091558;-0.497382096;-0.594346;-0.8950405;-0.5365505;-0.477602171;1.04092675;-0.65967039;-1.0306158;-0.59680509;-0.02929168;-0.5923289;0.133334439;0.14145551;-0.676789572;-0.48681058;0.40592081;-0.9169083;-0.99759989;-0.36835397;0.831637303;1.018432861;-0.66813261;-0.849852279;1.09909624;1.36434829;0.24697014;-1.608091997;-0.22394779;1.50004453;1.41837743;0.50611688;0.050166227;-0.055718366;0.5037733;-0.136336953;0.350705319;-0.7018741;0.553431338;-0.14518261;0.31463471;-0.025483345;-0.03191714;-0.242754858;0.08475351;0.12807597;0.194543093;0.01462017;0.267135242;0.19691651;0.76063025;0.1093477;0.439211011;0.22580822;0.50000289;0.12881077;-0.110134208;0.275186257;0.340128662;0.080461909;0.369082786;0.06300948;0.05019176;0.072217379;0.39105357;-0.064472368;-0.147172475;0.290918957;0.257570026;0.47996987;0.46203085;-0.021416912;0.57437893;0.484817824;0.2680773;0.21839919;0.21293203;0.49532908;0.546870828;0.376948204;0.28796716;-0.103754259;0.623749413;0.344013572;0.359793897;0.280142047;0.321908049;0.42145684;0.301406074;0.34704278;0.277233049;0.43002061
CAO_411;0.633660317;0.65635738;0.646997209;0.565166046;0.81211805;-1.23894729;-0.60297491;-0.19439816;-1.15083845;0.48069458;-1.38195797;0.51721026;-0.86486491;-1.07428513;0.087632392;0.371854004;-0.30962647;0.84700108;0.250401587;-0.682886647;-0.03545165;-1.263210469;-0.81205178;0.411503061;0.093356;-1.51564159;0.01418679;0.769989161;-0.67366323;-0.7382061;-1.25385551;-0.56340533;-0.64048585;-0.37379024;-1.61059649;-0.4326251;-1.3721602;-0.3775506;-0.315690302;-0.07805597;-0.51217501;-0.8784777;-0.42716735;0.72857947;-0.434145;-0.394050723;-0.26851351;-0.521149355;-0.32104085;-0.62078331;-0.7784572;-0.85795974;-1.94723119;0.682735198;0.490875868;0.78344082;0.874897066;0.08587126;1.07527858;0.68014559;1.043598593;0.21128715;0.45877838;0.36115831;0.54167718;0.241556196;0.361541918;0.3017938;0.154046766;-0.165351198;0.4545007;0.666909116;0.22644752;0.28618872;0.010853572;0.38087558;0.242016924;0.30911576;0.3128951;-0.438524792;0.44933617;0.282458853;0.24802942;0.51326557;0.26228085;0.553004385;0.18404549;0.55206486;0.27558142;0.265499341;0.23959952;0.312175225;0.106914747;0.049232369;0.1950776;-0.04207769;0.226393387;0.60862913;0.279824034;0.213610904;0.078434724;0.31619629;0.56828775;0.608731804;-0.051018199;0.46695766;0.031215878;0.4323873;0.47433003;-0.20434592;0.30089346;0.676602128;0.000723081;0.265009009;0.576734705;0.525290529;0.250149002;0.602310849;-0.14941525;0.607808837;0.64002577;0.471552972;0.48417682;0.490592951;0.41329461
CAO_412;0.369943402;0.52806205;0.727723064;0.913461096;0.53501157;-0.72025429;-0.71021061;0.1057547;-1.26230171;0.40167573;-1.49043691;0.66097842;-0.99807062;-1.16791196;-0.564946997;0.138210135;0.12848867;0.67042542;-0.063873048;-0.269567581;-0.09675438;-0.459271184;-0.90505704;0.609151396;0.57477901;0.8322037;-0.38494925;1.034088848;-0.77805213;0.2832131;0.42382829;0.34344106;-0.69144462;-0.48599984;-0.306677301;-0.5350753;-1.4788587;-0.4782791;-0.418263722;-0.46420834;-0.60561377;0.3454426;-0.53463366;-1.20986064;-0.534355;0.295410606;-0.11256335;-0.619747572;-0.42605747;-0.71413167;-0.8661661;-0.08890644;-2.06767936;0.507892204;0.517843106;-0.8595423;-0.425790712;0.69107871;1.04837567;0.45567495;-0.892573938;0.29918467;0.38238043;0.44682457;0.37698776;0.422874946;0.398638019;0.2098266;0.287012458;0.507576509;-0.6417939;0.808303952;0.22565901;0.20284098;0.429909653;0.29908234;0.030021752;0.19696742;0.10083567;0.286379101;0.1487803;0.352063709;0.21380087;-0.02529312;0.42315542;0.204494745;0.10200258;0.05904469;0.007244903;0.168802343;0.246401676;0.089418424;0.280168128;0.422125918;0.17512404;0.22711997;0.321091544;0.30958648;0.186047778;0.188104631;0.267854031;0.188915985;-0.03059907;0.28552365;0.017258176;0.12571759;0.095471386;-0.23961962;0.23944182;0.23955971;0.26886264;-0.257243275;-0.016010521;-0.039742115;0.195351072;0.025778063;0.159491064;0.086609416;0.177351225;0.158803393;0.15012253;0.071331549;0.11366978;0.201891056;0.25071405
CAO_413;0.894690809;1.052720946;1.023735486;0.618170754;0.16378423;-1.25978223;-0.62415754;-1.67823529;-0.08715123;-1.1917449;-1.40338621;-0.98329224;0.61737963;-1.09278009;-0.657763498;-0.257342911;0.52030813;-0.32913042;-1.684570696;-0.121143401;-0.15578911;0.469091937;-0.83042347;0.164164371;0.45616517;0.54241878;-0.37819493;-0.876140641;-0.69428356;-0.7564976;-0.52099957;-0.2725192;-2.66600519;-0.39595554;-1.631492183;-0.4528625;0.2480964;-0.3974483;-0.335952468;-0.08059117;-0.5306324;-0.8975168;-0.44839572;-1.12326957;-0.45394;-0.907143821;-0.53163317;-0.540625838;-0.34178547;-0.6392232;-0.7957827;-0.87543438;-1.97102388;0.209765091;0.403088212;0.9940988;0.913230019;0.69929865;0.61785181;0.47041689;1.126651991;0.35922544;0.10231684;-0.0082223;-0.38265651;0.42462371;0.431465674;-1.343777;0.378259719;0.030331461;-0.5584581;0.933547509;0.33614164;0.31589288;0.877574577;0.33152371;0.225009864;0.39117927;0.47892026;-0.049319253;0.51181742;0.039534643;0.17351338;0.36649206;0.24382679;0.564062569;0.52850703;0.52843862;0.572689035;-0.037103819;0.371338706;0.216668463;0.055762373;0.032198934;0.41489783;0.54499624;0.443202374;-1.53490018;0.278034021;-0.039448048;-0.004508023;0.518059889;0.47190723;0.616242751;-0.060847123;0.51961284;0.576501784;0.48758157;0.46822206;-0.20307712;0.83650183;0.308308037;0.546373807;0.554630963;0.53261449;0.207466891;0.450107881;0.532815917;0.480020219;0.520667706;0.34431402;0.507058402;0.44895514;0.431663195;0.58211491
CAO_414;-0.28224139;-0.016534834;-0.33369858;-0.203540592;0.42594868;0.97382641;-0.84973434;-0.20194668;0.01508113;-0.82621297;0.43450122;-1.98284073;0.79745343;-1.28971415;-0.557564752;-1.013386727;-0.06621271;-0.58938993;-0.656586107;-2.390645543;0.63869145;0.172622669;1.37777163;-2.297412224;0.11346107;0.23041062;-0.49377046;0.814862835;-0.91387104;-0.9512714;-1.49310305;0.58968743;-1.19171667;-0.63199053;0.353267232;-0.6683721;-0.1398394;-0.6093238;-0.551707564;0.09492602;2.89144452;-1.1002478;-0.6744523;0.06566043;-0.6647344;-0.047804695;-0.14238099;-0.748031986;-0.56268466;-0.83557327;-0.9802826;-1.06151508;0.30874022;-0.222592568;-0.113012495;-0.87962576;-0.654938099;-0.2955422;0.26762543;0.28625693;-1.687669156;0.17786244;-1.89825417;-0.65831617;-0.25764785;0.220913644;0.259553944;-1.5527672;0.153929156;0.592008024;-0.7769114;0.24245265;0.16438846;0.11558454;0.359347352;0.23956384;0.020806017;0.30196044;0.19572738;0.231401947;0.19578428;0.341540402;0.24835326;0.02755774;0.46772046;0.105749304;0.04444752;0.16212013;-0.031220966;0.260763155;-0.022768855;0.395241909;0.076660563;0.207280789;0.17791154;0.35363212;0.192987384;0.12018436;0.126392268;0.163395053;0.224238572;-0.111958958;0.16480392;0.221171191;0.005194251;0.10978308;0.283130922;-0.12998726;0.1985968;0.15155726;-0.09005066;0.227286852;0.172781936;0.396899044;0.237538339;0.088589399;0.146393809;0.211028609;0.423052942;0.16285238;0.052298;0.055994571;0.09753848;0.227029584;0.07635074
CAO_415;0.000108056;0.019866979;0.009706572;-0.071748731;-2.00589829;-1.47473343;0.77913607;-1.92356861;1.37879656;-0.26094032;-1.62445752;1.3061089;-1.16264127;0.9422882;-0.140427649;-0.580583612;-1.10911217;0.00981545;-1.978210391;-0.866275125;-0.15683595;0.731983496;-0.46958593;0.241968232;-0.69666476;1.1432936;-0.21717684;-1.086663032;-0.28928137;1.6890885;-1.48627963;0.73332697;0.5700124;-0.62462614;0.978587457;-0.6616479;2.1766712;-0.6027137;1.140849179;-0.40356209;-0.72105093;1.0928855;3.63278831;3.40991036;-0.6581575;-0.073808793;-0.37701203;-0.741560663;-0.55579281;-0.82944762;-0.974526;-1.05570946;-2.21648437;-0.041726838;0.301596104;-1.03064333;-0.675438527;-1.67419962;-1.71483059;-0.03303353;-0.389595656;-0.12054826;0.47886514;0.63750949;-0.1216714;0.198707925;0.017325072;1.4091846;-0.051025067;-0.073377133;2.6467121;-0.424980155;-0.0653133;0.0759669;-0.037578697;-0.03255866;-0.191370525;0.06747787;-0.02662589;-0.19067062;-0.32155628;-0.205740403;-0.12254883;0.21908879;-0.25802902;-0.096692825;-0.20611308;-0.09642441;-0.231937836;-0.049760771;-0.03557494;0.1361008;-0.02672043;-0.319553991;-0.09053084;-0.07026115;-0.154497264;0.33906881;-0.067910683;0.269566205;-0.22963776;-0.161542566;-0.10166377;-0.427633864;-0.399587191;-0.09177052;-0.023549295;-0.03537027;-0.18767141;-0.20485574;-0.03150017;-0.187793511;0.011134133;-0.009116947;0.016145816;-0.282333457;-0.143457791;-0.090411728;0.28796466;-0.124657462;-0.0951027;-0.105879426;-0.1094196;-0.127364548;-0.12014874
CAO_418;0.430151162;-0.084792349;0.100387249;0.086561652;-1.13509298;1.24305744;-0.77508941;-1.84767355;0.81387877;0.1806228;1.34650665;0.76655541;0.53295124;-1.22455298;0.607495689;-0.289831989;-1.6680463;-0.17546521;0.328010842;-0.519678674;-1.89903232;1.020347714;1.85578267;0.118831376;0.76375602;0.42405101;0.04751263;3.415161452;2.29434783;-0.8868236;-1.42073492;3.06958364;0.72591523;-0.55388662;1.735308453;-0.5970587;0.1655631;-0.5392174;-0.480317896;-0.45818978;-0.66214444;0.1826868;-0.59965053;-1.27514146;-0.5949822;-0.591532158;-0.85020732;-0.679400271;-0.48959108;-0.7706047;-0.9192307;-0.99994213;-1.42776982;-0.317108573;-0.146187053;0.16748887;0.096348309;-1.6082807;-1.64957379;-0.99441667;0.251261899;0.16237077;-0.31465774;-0.02178478;-0.61277057;0.136141386;-0.001312481;0.9152953;0.006359146;-0.12723411;1.2921769;-1.527573275;-0.0162108;0.24507106;0.051281274;0.12536288;-0.091720085;0.11472539;0.1441758;-0.277719126;0.45018176;0.023671267;-0.0771922;-0.15125013;0.24600644;0.094525923;0.02882792;0.05466295;0.390081288;0.169031898;0.422651065;0.167764524;0.221362353;-0.015427288;0.15948566;0.3263342;0.167294577;0.20685898;0.190910706;0.262730254;-0.309349742;-0.060909473;-0.21999083;-0.106487896;-0.314262753;0.07771355;-0.215315767;0.01454386;0.01071234;-0.76523679;-0.38670251;-0.287106014;0.178909519;0.158643286;0.05730057;-0.224450876;-0.174887273;-0.154162979;0.021744652;-0.120212186;-0.20569469;-0.042487786;-0.19893883;-0.191204782;-0.08474098
